"St0" "St1" "Tin0" "Tin1" "Tout0" "Tout1" "W0"
"128" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"129" "low" "low" "18-24" ">24" "18-24" ">24" "closed"
"130" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"131" "low" "low" "18-24" ">24" ">24" ">24" "closed"
"132" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"133" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"134" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"135" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"136" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"137" "low" "high" "18-24" "18-24" "18-24" "18-24" "open"
"138" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"139" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"140" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"141" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"142" "high" "low" "<18" "18-24" "18-24" ">24" "open"
"143" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"144" "low" "low" "18-24" ">24" "18-24" ">24" "closed"
"145" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"146" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"147" "low" "high" "<18" "<18" "18-24" "18-24" "closed"
"148" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"149" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"150" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"151" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"152" "low" "high" "<18" "18-24" "<18" "18-24" "open"
"153" "high" "high" "<18" ">24" ">24" ">24" "closed"
"154" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"155" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"156" "low" "low" "18-24" "<18" "18-24" "<18" "open"
"157" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"158" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"159" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"160" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"161" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"162" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"163" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"164" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"165" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"166" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"167" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"168" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"169" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"170" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"171" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"172" "high" "high" "<18" ">24" ">24" ">24" "closed"
"173" "low" "low" "18-24" "<18" "<18" "18-24" "open"
"174" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"175" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"176" "low" "low" ">24" "18-24" "18-24" "18-24" "open"
"177" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"178" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"179" "high" "low" "18-24" "18-24" "18-24" "<18" "open"
"180" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"181" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"182" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"183" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"184" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"185" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"186" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"187" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"188" "low" "low" "18-24" "18-24" ">24" "18-24" "closed"
"189" "low" "high" "18-24" "18-24" "<18" "18-24" "open"
"190" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"191" "low" "high" "18-24" ">24" "18-24" "18-24" "open"
"192" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"193" "low" "high" "18-24" ">24" "18-24" "18-24" "open"
"194" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"195" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"196" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"197" "low" "low" "18-24" "18-24" "<18" "18-24" "open"
"198" "low" "low" "18-24" "<18" "<18" "<18" "open"
"199" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"200" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"201" "low" "low" "18-24" ">24" "<18" ">24" "closed"
"202" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"203" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"204" "high" "high" "18-24" ">24" "18-24" "18-24" "open"
"205" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"206" "low" "low" "18-24" "<18" "<18" "<18" "open"
"207" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"208" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"209" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"210" "low" "high" "18-24" "18-24" "18-24" "18-24" "open"
"211" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"212" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"213" "high" "high" ">24" ">24" "18-24" "18-24" "closed"
"214" "high" "high" "18-24" ">24" "18-24" "18-24" "open"
"215" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"216" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"217" "low" "low" "18-24" "<18" "<18" "<18" "open"
"218" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"219" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"220" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"221" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"222" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"223" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"224" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"225" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"226" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"227" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"228" "low" "high" "18-24" "<18" "18-24" "<18" "open"
"229" "low" "low" ">24" "18-24" "18-24" "<18" "open"
"230" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"231" "low" "low" "18-24" "18-24" "18-24" ">24" "closed"
"232" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"233" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"234" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"235" "low" "high" "18-24" "18-24" "18-24" "18-24" "open"
"236" "low" "high" ">24" ">24" "18-24" "18-24" "closed"
"237" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"238" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"239" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"240" "high" "low" "18-24" "18-24" "18-24" "<18" "open"
"241" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"242" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"243" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"244" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"245" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"246" "high" "low" ">24" ">24" "<18" "18-24" "open"
"247" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"248" "high" "low" "<18" "18-24" "18-24" "18-24" "closed"
"249" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"250" "low" "low" ">24" "18-24" "18-24" "18-24" "open"
"251" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"252" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"253" "high" "high" "<18" "<18" "18-24" "18-24" "closed"
"254" "high" "low" "18-24" "18-24" "18-24" "<18" "open"
"255" "low" "high" "18-24" "18-24" "<18" "<18" "open"
"256" "low" "low" "<18" "<18" ">24" "<18" "closed"
"257" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"258" "high" "low" "18-24" "18-24" "<18" "18-24" "open"
"259" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"260" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"261" "high" "low" "18-24" "<18" "18-24" "<18" "open"
"262" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"263" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"264" "low" "low" "<18" "<18" "<18" "<18" "open"
"265" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"266" "low" "high" "<18" "<18" "18-24" "<18" "closed"
"267" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"268" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"269" "low" "low" "18-24" "<18" "18-24" "<18" "open"
"270" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"271" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"272" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"273" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"274" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"275" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"276" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"277" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"278" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"279" "low" "high" ">24" ">24" "18-24" "18-24" "closed"
"280" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"281" "high" "low" "18-24" "18-24" ">24" ">24" "closed"
"282" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"283" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"284" "low" "low" "18-24" "<18" "<18" "<18" "open"
"285" "high" "low" "<18" "18-24" ">24" ">24" "open"
"286" "high" "low" "18-24" "18-24" ">24" "18-24" "open"
"287" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"288" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"289" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"290" "high" "high" "18-24" "<18" "18-24" "<18" "open"
"291" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"292" "high" "high" ">24" "18-24" "18-24" "18-24" "open"
"293" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"294" "low" "high" "18-24" "18-24" "18-24" "<18" "closed"
"295" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"296" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"297" "low" "high" "18-24" ">24" ">24" ">24" "closed"
"298" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"299" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"300" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"301" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"302" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"303" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"304" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"305" "high" "low" "<18" "18-24" "<18" "<18" "closed"
"306" "low" "low" "18-24" "18-24" "18-24" ">24" "closed"
"307" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"308" "low" "low" ">24" ">24" "18-24" "18-24" "closed"
"309" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"310" "high" "high" "18-24" ">24" "18-24" "18-24" "open"
"311" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"312" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"313" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"314" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"315" "high" "high" "<18" "18-24" "18-24" "18-24" "closed"
"316" "low" "low" "18-24" ">24" ">24" ">24" "closed"
"317" "high" "high" "<18" "<18" "18-24" "<18" "closed"
"318" "high" "high" "<18" "18-24" "18-24" "<18" "open"
"319" "low" "low" "18-24" "<18" "<18" "<18" "open"
"320" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"321" "high" "high" "18-24" "18-24" "<18" "<18" "open"
"322" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"323" "high" "high" "18-24" "18-24" "18-24" ">24" "open"
"324" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"325" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"326" "high" "high" ">24" ">24" "18-24" "18-24" "open"
"327" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"328" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"329" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"330" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"331" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"332" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"333" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"334" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"335" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"336" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"337" "low" "low" "18-24" ">24" "<18" "18-24" "closed"
"338" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"339" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"340" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"341" "low" "low" "18-24" "<18" "<18" "<18" "open"
"342" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"343" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"344" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"345" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"346" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"347" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"348" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"349" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"350" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"351" "low" "low" "18-24" "<18" "18-24" "<18" "open"
"352" "low" "low" "18-24" "18-24" "<18" "18-24" "closed"
"353" "high" "low" "18-24" ">24" ">24" ">24" "open"
"354" "high" "high" "18-24" "18-24" ">24" ">24" "open"
"355" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"356" "low" "low" "18-24" "<18" ">24" "<18" "open"
"357" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"358" "high" "low" "18-24" "18-24" "18-24" ">24" "closed"
"359" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"360" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"361" "low" "low" ">24" ">24" "18-24" ">24" "closed"
"362" "high" "low" "18-24" "18-24" "18-24" "<18" "open"
"363" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"364" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"365" "high" "high" "<18" "18-24" "18-24" "18-24" "open"
"366" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"367" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"368" "high" "high" "18-24" "18-24" "<18" "<18" "open"
"369" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"370" "low" "low" ">24" ">24" ">24" ">24" "open"
"371" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"372" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"373" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"374" "low" "low" ">24" ">24" "18-24" ">24" "open"
"375" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"376" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"377" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"378" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"379" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"380" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"381" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"382" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"383" "high" "low" "<18" "18-24" "18-24" "18-24" "closed"
"384" "low" "high" "18-24" "18-24" "<18" "18-24" "closed"
"385" "high" "low" "18-24" "<18" "<18" "<18" "open"
"386" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"387" "high" "low" "18-24" "<18" "18-24" "<18" "open"
"388" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"389" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"390" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"391" "low" "low" "<18" "<18" "18-24" "18-24" "closed"
"392" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"393" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"394" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"395" "low" "low" ">24" ">24" "<18" "<18" "closed"
"396" "low" "high" "<18" "18-24" "18-24" "18-24" "closed"
"397" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"398" "high" "high" "18-24" "<18" "<18" "<18" "open"
"399" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"400" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"401" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"402" "high" "low" "18-24" "18-24" "18-24" "<18" "open"
"403" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"404" "low" "low" ">24" "18-24" "18-24" "18-24" "closed"
"405" "high" "high" "<18" "<18" "18-24" "18-24" "closed"
"406" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"407" "high" "high" "<18" "<18" "18-24" "18-24" "closed"
"408" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"409" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"410" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"411" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"412" "low" "low" "<18" "<18" "18-24" "18-24" "closed"
"413" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"414" "low" "low" "18-24" ">24" "18-24" ">24" "closed"
"415" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"416" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"417" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"418" "high" "high" "<18" "<18" "18-24" "18-24" "closed"
"419" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"420" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"421" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"422" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"423" "low" "low" "18-24" "18-24" ">24" "18-24" "closed"
"424" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"425" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"426" "high" "low" "18-24" "18-24" "<18" "18-24" "open"
"427" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"428" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
